	Cycle_ID	Cap_Chg	Cap_DChg	Specific_Capacity-Chg	Specific_Capacity-DChg	Chg/DChg_Efficiency	Engy_Chg	Engy_DChg	REngy_Chg	REngy_Dchg	CC_Chg_Ratio	CC_Chg_Cap	Plat_Cap	Plat_Capacity_Density	Plat_Efficiency	Plat_Time	Capacitance_Chg	Capacitance_DChg	IR	Mid_value_Voltage	Discharge_Fading_Ratio	Charge_Time	Discharge_Time	Charge_IR	Discharge_IR	End_Temperature	Net_Cap_DChg	Net_Engy_DChg
85	72.37	72.28	72369.61	72279.50	99.875	256.99	253.70	256994.90	253703.67	88.52	64.06	17.43	17431.42	24.12	0:29:55.000	425078.48	402920.70	0.000	3550.0	368.70	2:11:22.000	2:04:03.000	544.908	130.261	0.0	-0.09	-3.29	
86	72.27	72.17	72267.31	72171.59	99.868	256.63	253.32	256627.76	253319.34	88.58	64.02	17.43	17431.17	24.15	0:29:55.000	424477.60	402506.13	0.000	3549.7	368.15	2:10:47.000	2:03:52.000	544.908	130.130	0.0	-0.10	-3.31	
87	72.30	72.24	72296.18	72243.26	99.927	256.73	253.58	256728.56	253582.09	88.57	64.03	17.46	17459.21	24.17	0:29:58.000	424439.40	403280.71	0.000	3549.7	368.52	2:11:08.000	2:04:00.000	536.327	130.391	0.0	-0.05	-3.15	
88	72.28	72.31	72278.14	72309.27	100.043	256.67	253.81	256669.29	253809.26	88.59	64.03	17.47	17468.38	24.16	0:29:59.000	424957.21	403274.04	0.000	3549.7	368.85	2:11:05.000	2:04:07.000	540.695	130.163	0.0	0.03	-2.86	
89	72.21	72.23	72211.66	72229.11	100.024	256.42	253.53	256420.72	253528.77	88.59	63.97	17.45	17450.34	24.16	0:29:57.000	423321.89	402826.94	0.000	3549.7	368.45	2:10:55.000	2:03:58.000	523.605	130.228	0.0	0.02	-2.89	
90	72.27	72.25	72266.80	72250.36	99.977	256.62	253.61	256624.44	253608.50	88.60	64.02	17.46	17460.51	24.17	0:29:58.000	424059.45	402945.45	0.000	3549.7	368.55	2:10:59.000	2:04:00.000	536.327	137.707	0.0	-0.02	-3.02	
91	72.31	72.23	72309.40	72230.40	99.891	256.77	253.54	256772.94	253544.06	88.57	64.04	17.43	17431.32	24.13	0:29:55.000	423205.72	402460.07	0.000	3550.0	368.45	2:11:22.000	2:03:58.000	509.153	130.686	0.0	-0.08	-3.23	
92	72.29	72.21	72288.40	72211.31	99.893	256.70	253.48	256695.06	253482.08	88.58	64.03	17.47	17470.14	24.19	0:29:59.000	423564.83	402914.94	0.000	3549.7	368.35	2:11:05.000	2:03:56.000	527.746	130.228	0.0	-0.08	-3.21	
93	72.25	72.22	72250.97	72221.46	99.959	256.56	253.51	256562.36	253514.10	88.61	64.02	17.44	17441.12	24.15	0:29:56.000	423759.38	402971.56	0.000	3549.7	368.41	2:10:53.000	2:03:57.000	523.455	130.228	0.0	-0.03	-3.05	
94	72.29	72.21	72293.66	72211.82	99.887	256.72	253.48	256716.80	253484.61	88.60	64.05	17.44	17441.16	24.15	0:29:56.000	422907.33	402730.53	0.000	3549.7	368.36	2:11:01.000	2:03:56.000	500.572	130.261	0.0	-0.08	-3.23	
95	72.33	72.25	72334.48	72250.67	99.884	256.87	253.63	256866.41	253629.11	88.57	64.06	17.46	17460.58	24.17	0:29:58.000	423627.98	403134.53	0.000	3550.0	368.55	2:11:10.000	2:04:00.000	519.165	137.914	0.0	-0.08	-3.24	
96	72.35	72.28	72351.64	72279.80	99.901	256.93	253.73	256928.22	253729.30	88.56	64.07	17.46	17460.58	24.16	0:29:58.000	422834.27	402735.30	0.000	3550.0	368.70	2:11:19.000	2:04:03.000	496.281	130.457	0.0	-0.07	-3.20	
97	72.31	72.21	72312.39	72211.83	99.861	256.79	253.49	256786.39	253491.92	88.57	64.04	17.47	17470.29	24.19	0:29:59.000	422810.77	402543.47	0.000	3550.0	368.36	2:11:00.000	2:03:56.000	509.153	137.672	0.0	-0.10	-3.29	
98	72.38	72.26	72380.09	72260.38	99.835	257.02	253.66	257024.52	253662.26	88.54	64.08	17.42	17421.73	24.11	0:29:54.000	422383.42	403188.72	0.000	3550.3	368.60	2:11:20.000	2:04:01.000	491.991	137.879	0.0	-0.12	-3.36	
99	72.34	72.29	72337.13	72289.51	99.934	256.87	253.77	256872.56	253773.26	88.54	64.04	17.46	17460.58	24.15	0:29:58.000	422338.06	403351.27	0.000	3550.0	368.75	2:11:21.000	2:04:04.000	487.700	130.195	0.0	-0.05	-3.10	
100	72.31	72.24	72312.86	72240.96	99.901	256.79	253.60	256785.39	253600.38	88.59	64.06	17.45	17450.87	24.16	0:29:57.000	422813.55	403267.86	0.000	3550.0	368.51	2:11:12.000	2:03:59.000	496.281	137.707	0.0	-0.07	-3.19	
101	72.28	72.23	72278.51	72231.24	99.935	256.66	253.58	256664.63	253576.01	88.58	64.03	17.46	17460.58	24.17	0:29:58.000	421585.61	403026.16	0.000	3550.0	368.46	2:11:04.000	2:03:58.000	479.119	137.810	0.0	-0.05	-3.09	
