Cycle_ID	Step_ID	Step_Type	Step_Time	Capacity	Capacity_Density	Energy	CmpEngergy	Capacitance	Start_Voltage	End_Voltage	Start_Temperature	End_Temperature	End_Capacity	Charge_Mid-Vol	Discharge_Mid-Vol	DCIR	ChargeCap	DischargeCap	Engy_Chg	Engy_DChg	Net_DischargeCap	Net_Engy_DChg
55	110	CC_DChg  	2:04:17.000	72.43	72426.14	254.22	254218.02	404113.62	3645.2	3000.0	0.0	0.0	72.43	0.0	3550.9	137.672	0.00	72.43	0.00	254.22	72.43	254.22	
56	111	CCCV_Chg  	2:11:22.000	72.52	72524.27	257.63	257629.31	432120.79	3046.5	3650.7	0.0	0.0	72.52	3594.6	0.0	664.951	72.52	0.00	257.63	0.00	-72.52	-257.63	
56	112	CC_DChg  	2:04:18.000	72.45	72445.53	254.29	254288.71	403284.24	3645.5	2998.8	0.0	0.0	72.45	0.0	3550.9	130.163	0.00	72.45	0.00	254.29	72.45	254.29	
57	113	CCCV_Chg  	2:11:29.000	72.51	72507.66	257.55	257553.72	431165.49	3045.3	3650.7	0.0	0.0	72.51	3583.2	0.0	664.856	72.51	0.00	257.55	0.00	-72.51	-257.55	
57	114	CC_DChg  	2:04:22.000	72.48	72484.93	254.44	254436.75	404065.89	3645.5	2999.7	0.0	0.0	72.48	0.0	3550.9	130.228	0.00	72.48	0.00	254.44	72.48	254.44	
58	115	CCCV_Chg  	2:11:01.000	72.50	72499.82	257.52	257523.14	431118.86	3045.3	3650.7	0.0	0.0	72.50	3583.2	0.0	651.987	72.50	0.00	257.52	0.00	-72.50	-257.52	
58	116	CC_DChg  	2:04:16.000	72.43	72426.46	254.22	254222.13	403365.21	3645.5	2999.1	0.0	0.0	72.43	0.0	3550.9	130.228	0.00	72.43	0.00	254.22	72.43	254.22	
59	117	CCCV_Chg  	2:11:13.000	72.50	72503.75	257.54	257537.53	429793.35	3043.4	3650.7	0.0	0.0	72.50	3583.2	0.0	633.400	72.50	0.00	257.54	0.00	-72.50	-257.54	
59	118	CC_DChg  	2:04:17.000	72.43	72433.99	254.26	254255.22	403781.93	3645.5	2999.7	0.0	0.0	72.43	0.0	3550.9	130.424	0.00	72.43	0.00	254.26	72.43	254.26	
60	119	CCCV_Chg  	2:11:20.000	72.50	72503.23	257.53	257528.59	430215.31	3044.0	3650.7	0.0	0.0	72.50	3583.2	0.0	633.491	72.50	0.00	257.53	0.00	-72.50	-257.53	
60	120	CC_DChg  	2:04:18.000	72.44	72437.29	254.26	254263.36	403800.29	3645.2	2999.4	0.0	0.0	72.44	0.0	3550.9	137.741	0.00	72.44	0.00	254.26	72.44	254.26	
61	121	CCCV_Chg  	2:11:15.000	72.48	72479.16	257.44	257435.60	429647.55	3043.4	3650.7	0.0	0.0	72.48	3583.2	0.0	629.201	72.48	0.00	257.44	0.00	-72.48	-257.44	
